#SampleID,SampleType,Population,Subpopulation,Year,Month,Day,Name,Group,Subgroup,Type_CE,Stage,Visit,VisitLF,ScoreFaeces,Treatment,CIBDAI_1,CIBDAI_2,SignsDurationMonths,Localisation,StudyDurationWeeks,ConcurrentDiseases,LaboratoryFindings,Breed,Diet,AgeDays,Sex,NeuteringStatus,Run,Description,Sample_or_Control
sa282,Faeces,Total_Bacteria_IgG,IgG,2014,7,14,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Active,2,NA,4,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_General_Presort_IgG_V2_Rep1_FVASLMML73,True Sample
sa565,Water_presort,Water_presort_IgG,IgG,2014,7,14,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Active,2,NA,4,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_presort_IgG_V2_Rep1_FVASLMML75,Control Sample
sa139,Faeces,IgG+,IgG,2014,7,14,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Active,2,NA,4,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_IgG+_V2_Rep1_FVASLMML77,True Sample
sa206,Faeces,IgG-,IgG,2014,7,14,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Active,2,NA,4,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_IgG-_V2_Rep1_FVASLMML79,True Sample
sa210,Faeces,Total_Bacteria_IgG,IgG,2014,9,30,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Active,3,NA,3,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_General_Presort_IgG_V4_Rep1_FVASLMML81,True Sample
sa203,Water_presort,Water_presort_IgG,IgG,2014,9,30,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Active,3,NA,3,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_presort_IgG_V4_Rep1_FVASLMML83,Control Sample
sa336,Faeces,IgG+,IgG,2014,9,30,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Active,3,NA,3,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_IgG+_V4_Rep1_FVASLMML85,True Sample
sa657,Faeces,IgG-,IgG,2014,9,30,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Active,3,NA,3,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_IgG-_V4_Rep1_FVASLMML87,True Sample
sa70,Faeces,Total_Bacteria_IgG,IgG,2014,10,28,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Active,4,NA,3,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Tramadol,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_General_Presort_IgG_V6_Rep1_FVASLMML89,True Sample
sa691,Water_presort,Water_presort_IgG,IgG,2014,10,28,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Active,4,NA,3,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Tramadol,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_presort_IgG_V6_Rep1_FVASLMML91,Control Sample
sa45,Faeces,IgG+,IgG,2014,10,28,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Active,4,NA,3,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Tramadol,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_IgG+_V6_Rep1_FVASLMML93,True Sample
sa640,Faeces,IgG-,IgG,2014,10,28,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Active,4,NA,3,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Tramadol,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_IgG-_V6_Rep1_FVASLMML95,True Sample
sa309,Faeces,Total_Bacteria_IgG,IgG,2015,1,28,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Remission,5,Last,2,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_General_Presort_IgG_V9_Rep1_FVASLMML97,True Sample
sa64,Water_presort,Water_presort_IgG,IgG,2015,1,28,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Remission,5,Last,2,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_presort_IgG_V9_Rep1_FVASLMML99,Control Sample
sa636,Faeces,IgG+,IgG,2015,1,28,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Remission,5,Last,2,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_IgG+_V9_Rep1_FVASLMML101,True Sample
sa571,Faeces,IgG-,IgG,2015,1,28,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Remission,5,Last,2,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_IgG-_V9_Rep1_FVASLMML103,True Sample
sa457,Faeces,Total_Bacteria_IgG,IgG,2015,3,14,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Remission,6,Last,2,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_General_Presort_IgG_V10_Rep1_FVASLMML105,True Sample
sa170,Water_presort,Water_presort_IgG,IgG,2015,3,14,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Remission,6,Last,2,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_presort_IgG_V10_Rep1_FVASLMML107,Control Sample
sa76,Faeces,IgG+,IgG,2015,3,14,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Remission,6,Last,2,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_IgG+_V10_Rep1_FVASLMML109,True Sample
sa181,Faeces,IgG-,IgG,2015,3,14,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Remission,6,Last,2,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,Noodle_IgG-_V10_Rep1_FVASLMML111,True Sample
sa349,Cytology_Brush,NA,Intestine,2015,1,28,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Remission,6,Last,NA,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,NoodleCB_V2_Rep1_FVASLMML113,True Sample
sa89,Small_Intestine_Biopsy,NA,Intestine,2015,1,28,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Remission,6,Last,NA,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,NoodleSI_V2_Rep1_FVASLMML115,True Sample
sa680,Colon_Biopsy,NA,Intestine,2015,1,28,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Remission,6,Last,NA,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,NoodleC_V2_Rep1_FVASLMML117,True Sample
sa130,Small_Intestine_Biopsy,NA,Intestine,2014,6,24,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Active,6,Last,NA,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,NoodleSI_V1_Rep1_FVASLMML119,True Sample
sa348,Colon_Biopsy,NA,Intestine,2014,6,24,Noodle,ChronicEnteropathy,New_Study,Corticoid_Responsive,Active,6,Last,NA,Z_D_Hills_Sensitivity_Hypoallergenic_prednisolone_Clorambucil,5,0,24,Mixed,NA,Polyarthritis_Bronchopathy_Gabapentin,WNL,Spoodle,Z_D_Hills_Sensitivity_Hypoallergenic_sweet_potato,1800,Male,Yes,1,NoodleC_V1_Rep1_FVASLMML121,True Sample
sa327,Faeces,Total_Bacteria_IgA,IgA,2012,12,21,Winnie_Lee,ChronicEnteropathy,Old_Study,Antibiotic_Responsive,Active,1,First,Unknown,Sensitivity_and_hypoallergenic_Oxytetracycline_200mg,8,2,4,Mixed,NA,No,no _stress_ leukogram_ mild_ increase_ urea,Japanese_Spitz,Sensitivity,540,Female,Yes,1,Winnie_Lee_General_Presort_IgA_V1_Rep1_FVASLMML123,True Sample
sa75,Water_presort,Water_presort_IgA,IgA,2012,12,21,Winnie_Lee,ChronicEnteropathy,Old_Study,Antibiotic_Responsive,Active,1,First,Unknown,Sensitivity_and_hypoallergenic_Oxytetracycline_200mg,8,2,4,Mixed,NA,No,no _stress_ leukogram_ mild_ increase_ urea,Japanese_Spitz,Sensitivity,540,Female,Yes,1,Winnie_Lee_presort_IgA_V1_Rep1_FVASLMML125,Control Sample
sa332,Faeces,IgA+,IgA,2012,12,21,Winnie_Lee,ChronicEnteropathy,Old_Study,Antibiotic_Responsive,Active,1,First,Unknown,Sensitivity_and_hypoallergenic_Oxytetracycline_200mg,8,2,4,Mixed,NA,No,no _stress_ leukogram_ mild_ increase_ urea,Japanese_Spitz,Sensitivity,540,Female,Yes,1,Winnie_Lee_IgA+_V1_Rep1_FVASLMML127,True Sample
sa669,Faeces,IgA-,IgA,2012,12,21,Winnie_Lee,ChronicEnteropathy,Old_Study,Antibiotic_Responsive,Active,1,First,Unknown,Sensitivity_and_hypoallergenic_Oxytetracycline_200mg,8,2,4,Mixed,NA,No,no _stress_ leukogram_ mild_ increase_ urea,Japanese_Spitz,Sensitivity,540,Female,Yes,1,Winnie_Lee_IgA-_V1_Rep1_FVASLMML129,True Sample
